url,normalized_url,domain,source_type,first_seen_source,first_seen_at,candidate_year,candidate_month,candidate_slug,wayback_timestamp,first_capture_timestamp,last_capture_timestamp,capture_count,cdx_digest,cdx_length,mimetype,query_group,query_domain,priority,notes
https://beppegrillo.it/,https://beppegrillo.it/,beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_live,beppegrillo.it,P0,Current Beppe Grillo official site.
https://beppegrillo.it/blog/,https://beppegrillo.it/blog,beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_live,beppegrillo.it,P0,Current blog landing page.
https://beppegrillo.it/category/archivio/,https://beppegrillo.it/category/archivio,beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_live,beppegrillo.it,P0,Current archive category landing page.
https://beppegrillo.it/category/archivio/2005/,https://beppegrillo.it/category/archivio/2005,beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_live,beppegrillo.it,P0,Current 2005 archive entry point.
http://www.beppegrillo.it/,http://www.beppegrillo.it/,www.beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_wayback,www.beppegrillo.it,P0,Historical www/http domain variant.
https://www.beppegrillo.it/,https://www.beppegrillo.it/,www.beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_wayback,www.beppegrillo.it,P0,Historical www/https domain variant.
http://beppegrillo.it/,http://beppegrillo.it/,beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_wayback,beppegrillo.it,P0,Historical non-www/http domain variant.
https://beppegrillo.it/,https://beppegrillo.it/,beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_wayback,beppegrillo.it,P0,Historical non-www/https domain variant.
http://www.beppegrillo.it/archives/,http://www.beppegrillo.it/archives,www.beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_wayback,www.beppegrillo.it,P0,Legacy archive path.
https://www.beppegrillo.it/archives/,https://www.beppegrillo.it/archives,www.beppegrillo.it,seed_url,DATA.md,,,,,,,,0,,,html,beppegrillo_wayback,www.beppegrillo.it,P0,Legacy archive path over https.
https://www.ilblogdellestelle.it/,https://www.ilblogdellestelle.it/,www.ilblogdellestelle.it,seed_url,DATA.md,,,,,,,,0,,,html,blogdellestelle_live,www.ilblogdellestelle.it,P0,Il Blog delle Stelle current site.
http://www.ilblogdellestelle.it/,http://www.ilblogdellestelle.it/,www.ilblogdellestelle.it,seed_url,DATA.md,,,,,,,,0,,,html,blogdellestelle_wayback,www.ilblogdellestelle.it,P0,Historical http domain variant.
https://www.ilblogdellestelle.it/2005/12/le_buone_azioni.html,https://www.ilblogdellestelle.it/2005/12/le_buone_azioni.html,www.ilblogdellestelle.it,seed_url,DATA.md,,,,,,,,0,,,html,blogdellestelle_wayback,www.ilblogdellestelle.it,P0,Legacy-style seed URL from project notes.
https://www.movimento5stelle.it/,https://www.movimento5stelle.it/,www.movimento5stelle.it,seed_url,DATA.md,,,,,,,,0,,,html,m5s_live,www.movimento5stelle.it,P1,Current M5S official .it site.
https://www.movimento5stelle.eu/,https://www.movimento5stelle.eu/,www.movimento5stelle.eu,seed_url,DATA.md,,,,,,,,0,,,html,m5s_live,www.movimento5stelle.eu,P1,Current/historical M5S .eu site.
