query_group,source_type,records
beppegrillo,archive_listing_candidate,1216
beppegrillo,blog_post_candidate,24786
beppegrillo,comment_page_candidate,42
beppegrillo,homepage_candidate,1337
beppegrillo,unclassified_html_candidate,22615
beppegrillo_live,seed_url,4
beppegrillo_wayback,seed_url,6
blogdellestelle,archive_listing_candidate,2635
blogdellestelle,asset_or_feed,1
blogdellestelle,blog_post_candidate,186052
blogdellestelle,comment_page_candidate,9635
blogdellestelle,homepage_candidate,673
blogdellestelle,pagination_candidate,13738
blogdellestelle,unclassified_html_candidate,66886
blogdellestelle_live,seed_url,1
blogdellestelle_wayback,seed_url,2
comparison_party_controls,seed_url,1
election_results,seed_url,3
internet_archive_item,seed_url,1
m5s_live,seed_url,5
m5s_programs,seed_url,1
media_public_controls,seed_url,5
movimento5stelle,homepage_candidate,64
movimento5stelle,m5s_page_candidate,22
parliament_camera,seed_url,2
parliament_openpolis,seed_url,2
parliament_senate,seed_url,1
